,word,count
0,aa,10
1,aam,1
2,aback,1
3,abandon,5
4,abandoned,10
5,abb,2
6,abbey,6
7,abbreviation,1
8,abdomen,1
9,abdominal,1
10,abduct,4
11,abey,1
12,abhor,2
13,abide,2
14,abiding,1
15,abigail,2
16,ability,19
17,able,378
18,abnormal,3
19,aboard,8
20,abomination,5
21,aboriginal,1
22,abort,3
23,aborted,1
24,abortion,1
25,abortionist,1
26,abouts,3
27,abroad,12
28,abrupt,2
29,abruptly,1
30,absence,10
31,absent,7
32,absentmindedly,1
33,absinthe,3
34,absolute,19
35,absolutely,146
36,absorb,1
37,absorbed,1
38,abstract,1
39,abstraction,2
40,absurd,2
41,absurdly,1
42,abu,1
43,abundance,1
44,abuse,14
45,aby,1
46,abyss,1
47,academic,1
48,academically,1
49,academy,8
50,accent,38
51,accentuate,1
52,accept,35
53,acceptable,4
54,acceptance,5
55,accepted,23
56,access,66
57,accessary,1
58,accessible,3
59,accessory,3
60,accident,48
61,accidental,4
62,accidentally,20
63,accidently,5
64,acclaim,1
65,accolade,1
66,accommodating,2
67,accommodation,1
68,accompany,2
69,accomplish,3
70,accomplished,7
71,accomplishment,4
72,accordance,1
73,according,28
74,accordingly,1
75,accordion,2
76,accosted,2
77,account,213
78,accountant,4
79,accounting,5
80,accumulate,1
81,accurate,11
82,accurately,3
83,ace,37
84,ach,23
85,ache,33
86,achieve,7
87,achievement,6
88,aching,11
89,achingly,1
90,achy,1
91,acid,4
92,acidity,1
93,acme,1
94,acne,1
95,acorn,2
96,acoustic,18
97,acquaint,1
98,acquaintance,2
99,acquainted,2
100,acquired,3
101,acquisition,1
102,acreage,1
103,acrobat,2
104,acronym,5
105,acropolis,1
106,across,68
107,acryl,1
108,act,91
109,actin,4
110,acting,49
111,action,55
112,activate,5
113,activation,6
114,active,24
115,actively,1
116,activist,3
117,activity,13
118,actor,33
119,actress,23
120,actual,49
121,actually,745
122,acumen,1
123,acupuncture,2
124,ad,103
125,adamant,1
126,adapt,2
127,adaptation,1
128,adapter,3
129,adaption,1
130,adaptive,1
131,adaptor,2
132,add,398
133,added,77
134,addict,55
135,addicted,41
136,addiction,24
137,addition,10
138,additional,4
139,additive,1
140,address,76
141,adduct,1
142,ade,1
143,adequate,3
144,adequately,2
145,adherent,1
146,aditus,1
147,adjacent,1
148,adjust,18
149,adjuster,1
150,adjustment,3
151,administration,5
152,administrator,2
153,admirable,2
154,admiration,1
155,admire,11
156,admired,1
157,admirer,1
158,admiring,3
159,admiringly,1
160,admission,2
161,admit,76
162,admitted,3
163,admittedly,2
164,ado,1
165,adobe,13
166,adopt,14
